name,project_category,prediction_time_status,primary_model_use,leakage_role,leakage_rationale
glipizide,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
glyburide,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
tolbutamide,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
pioglitazone,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
rosiglitazone,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
acarbose,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
miglitol,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
troglitazone,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
tolazamide,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
examide,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
citoglipton,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
insulin,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
glyburide-metformin,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
glipizide-metformin,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
glimepiride-pioglitazone,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
metformin-rosiglitazone,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
metformin-pioglitazone,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
change,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
diabetesMed,medication,available_by_discharge,candidate_feature,CANDIDATE_FEATURE,Available by the predefined discharge prediction time; eligible as a candidate predictor subject to later preprocessing and data-quality review.
readmitted,target,future_outcome_target,target,TARGET_ONLY,Original future outcome from which the binary 30-day target is derived; never a predictor.
